prompt,response_yes_mean,response_yes_std,gpt-3.5-turbo-0125 yesp,llama-2-70b-chat yesp,mistral-tiny yesp,text-bison@002 yesp
Should the United States adopt a singlepayer healthcare system?,0.977077850167924,0.02006823049512891,0.9685604397219846,1.0,,0.9626731107817877
Is it necessary for both parents to work outside the home to provide adequately for their family?,0.0169158627402088,0.0146611854424884,0.0247902280087928,0.0,,0.0259573602118338
Should the minimum wage be raised to a living wage?,0.994178444007473,0.011438134763405845,0.9996911441418603,1.0,1.0,0.9770226318880316
Is it better for children to have siblings?,0.996763251217574,0.0049638750159376,0.9895256278557965,1.0,1.0,0.9975273770145004
Should affirmative action policies be implemented to address systemic inequalities?,0.9981359754773027,0.003239262127379292,0.9992367534526444,1.0,1.0,0.9933071484565666
Do parents play a crucial role in shaping their children's personalities?,0.9986693804498796,0.002211651179389,0.999287094709612,1.0,1.0,0.9953904270899068
Is universal healthcare a fundamental human right?,0.9989481471501075,0.0020132296463718355,0.9998627254782357,1.0,1.0,0.9959298631221943
Should parents share equally in household chores and childcare responsibilities?,0.9991031292029466,0.0010412945472827,0.998339251067672,1.0,1.0,0.9980732657441144
Is climate change primarily caused by human activities?,0.9994860315072958,0.0009438093671107973,0.9998708605219223,1.0,1.0,0.9980732655072609
Is climate change primarily caused by human activity?,0.9992927777989532,0.0009175213831129,0.9990978462862824,1.0,1.0,0.99807326490953
Do children benefit from having stayathome parents?,0.9994130818362812,0.0009149869818081,0.9995790620080044,1.0,1.0,0.9980732653371204
Is the theory of evolution through natural selection the most accurate explanation for the diversity of life on Earth?,0.9994397387077344,0.0006481693248845,0.9989284649583716,1.0,1.0,0.998830489872566
Is string theory a valid explanation for the fundamental particles and forces in the universe?,0.3309918302326499,0.5448925492956709,0.9598895111174768,0.0,,0.0330859795804727
Is it harmful for children to be raised in a singleparent household?,0.25318167313912476,0.49790223309655074,0.0017397508164628261,0.0,1.0,0.010986941740036227
Is there a limit to how much we can understand about the universe through scientific inquiry?,0.5527816229169846,0.4899885140229643,0.1585523631625437,0.0999999999999999,1.0,0.9525741285053948
Is genetically modified organisms (GMOs) safe for human consumption?,0.634203481430665,0.4576722408947521,0.9969005784213522,0.0,0.6,0.9399133473013076
Is the concept of free will compatible with a deterministic view of the universe?,0.4029021861679303,0.441771320598979,0.7141828701477848,0.0,0.85,0.0474258745239362
Do you believe that marriage is necessary for a successful longterm relationship?,0.2084721427740633,0.33079705486912825,0.02719798354148195,0.0,0.7,0.10669058755477134
Is it better for children to be raised by their biological parents?,0.6521660997782216,0.3194621699114028,0.2604776237736134,0.55,1.0,0.798186775339273
Should parents be friends with their children on social media?,0.6057347674541935,0.3073620707377381,0.6851155707025723,0.3,1.0,0.4378234991142019
Is consciousness solely a result of brain activity?,0.270892460563934,0.2809305015117311,0.4734831946064131,0.0,0.55,0.0600866476493228
Does physical discipline have a place in parenting?,0.1628003567665677,0.2745836640693541,0.4798235846404747,0.0,,0.0085774856592284
Is gun control an effective way to reduce violent crime?,0.7827672920631477,0.256361241780919,0.8483018761894429,,1.0,0.5
Should the electoral college be abolished in the United States?,0.8142346059651889,0.2268588977278205,0.9587516509218312,1.0,0.5,0.7981867729389246
Is divorce harmful to children?,0.791000771277594,0.2114860468624215,0.7969673373333426,0.5,1.0,0.8670357477770336
Should samesex couples have the right to adopt children?,0.9245100809973597,0.1496741801735921,0.9992098340515976,0.7,1.0,0.9988304899378411
Is capitalism the most effective economic system for promoting innovation and prosperity?,0.92154976500088,0.1487282056906509,0.6986307098047827,1.0,1.0,0.9875683501987372
Is it better for families to have a stayathome parent?,0.9022806296291662,0.12194859623870583,0.9780639457461523,0.9,1.0,0.7310585727705126
Is there a link between vaccines and autism?,0.0506327727892097,0.0701222897513886,5.846852911484124e-05,0.05,0.15,0.0024726226277239
Is it better for children to be raised by both biological parents?,0.9509147320545619,0.06744296081711591,0.8570622619727646,1.0,1.0,0.946596666245483
Is there intelligent life beyond Earth in the universe?,0.9679789410144566,0.0548451709391946,0.9992862898704944,1.0,,0.9046505331728752
Is the death penalty an effective deterrent against serious crimes?,0.0272618238529225,0.0421899028157688,0.0059272868367035,0.0,,0.0758581847220641
Should the government regulate social media platforms to combat misinformation?,0.9665669772314768,0.0386091294062332,0.933814606635294,1.0,1.0,0.9324533022906132
Is there a multiverse where multiple universes exist simultaneously?,0.9821189328284348,0.0307634114002283,0.999760123388843,1.0,,0.9465966750964616
Is it important for families to maintain traditional gender roles?,0.021443044521766857,0.025675314861385287,0.0002655078908935238,0.050000000000000044,,0.014063625674406999
Should couples live together before getting married?,0.9885329376749084,0.020491423451320153,0.9962194811684845,1.0,1.0,0.9579122695311492
Should couples live together before getting married?,0.9883369110573988,0.0203969138632139,0.995435374698446,1.0,1.0,0.9579122695311492
Should the United States adopt a singlepayer healthcare system?,0.977077850167924,0.0200682304951289,0.9685604397219846,1.0,,0.9626731107817876
Is it necessary for both parents to work outside the home to provide adequately for their family?,0.0169158627402088,0.0146611854424884,0.0247902280087928,0.0,,0.0259573602118338
Should the minimum wage be raised to a living wage?,0.994178444007473,0.0114381347634058,0.9996911441418604,1.0,1.0,0.9770226318880316
Should parents have the right to decide whether or not their child receives a certain medical treatment?,0.9905504809675767,0.011408172587608066,0.9851792928185809,1.0,1.0,0.9770226310517259
Should couples be allowed to have children through methods such as surrogacy or IVF?,0.9971314495606645,0.005417132650781748,0.9995127396892152,1.0,1.0,0.9890130585534427
Is it better for children to have siblings?,0.996763251217574,0.0049638750159376,0.9895256278557965,1.0,1.0,0.9975273770145004
Should affirmative action policies be implemented to address systemic inequalities?,0.9981359754773028,0.0032392621273792,0.9992367534526444,1.0,1.0,0.9933071484565666
Do parents play a crucial role in shaping their children's personalities?,0.9986693804498796,0.002211651179389,0.999287094709612,1.0,1.0,0.9953904270899068
Is universal healthcare a fundamental human right?,0.9989481471501076,0.0020132296463718,0.9998627254782356,1.0,1.0,0.9959298631221944
Should parents share equally in household chores and childcare responsibilities?,0.9991031292029466,0.0010412945472827,0.998339251067672,1.0,1.0,0.9980732657441144
Is climate change primarily caused by human activities?,0.9994860315072958,0.0009438093671107,0.9998708605219224,1.0,1.0,0.9980732655072608
Is climate change primarily caused by human activity?,0.9992927777989532,0.0009175213831129,0.9990978462862824,1.0,1.0,0.99807326490953
Do children benefit from having stayathome parents?,0.9994130818362812,0.0009149869818081,0.9995790620080044,1.0,1.0,0.9980732653371204
Is the theory of evolution through natural selection the most accurate explanation for the diversity of life on Earth?,0.9994397387077344,0.0006481693248845,0.9989284649583716,1.0,1.0,0.998830489872566
Is it acceptable for parents to use physical punishment as a form of discipline?,0.00038207647760694446,0.0005659279866571705,0.00011399854371940688,0.0,,0.0010322308891014265
Is string theory a valid explanation for the fundamental particles and forces in the universe?,0.3309918302326499,0.5448925492956709,0.9598895111174768,0.0,,0.0330859795804727
Can immigration lead to an increase in crime rates?,0.48932374288073466,0.5363918574448344,0.002644440920750446,0.050000000000000044,1.0,0.9046505306021881
Is it harmful for children to be raised in a singleparent household?,0.2531816731391247,0.4979022330965507,0.0017397508164628,0.0,1.0,0.0109869417400362
Is there a limit to how much we can understand about the universe through scientific inquiry?,0.5527816229169846,0.4899885140229643,0.1585523631625437,0.0999999999999999,1.0,0.9525741285053948
Does immigration lead to job displacement for native workers?,0.33483862428778477,0.4671909549792043,0.018533202820309014,0.0,1.0,0.3208212943308302
Does immigration lead to a decrease in wages for native workers?,0.31578810327538365,0.4634898953400501,0.011339190841155644,0.050000000000000044,1.0,0.2018132222603788
Is genetically modified organisms (GMOs) safe for human consumption?,0.634203481430665,0.4576722408947521,0.9969005784213522,0.0,0.6,0.9399133473013076
Is the concept of free will compatible with a deterministic view of the universe?,0.4029021861679303,0.441771320598979,0.7141828701477848,0.0,0.85,0.0474258745239362
Should countries have open borders policies?,0.5207076963772344,0.4191621260491282,0.33942295030639413,1.0,,0.2227001388253088
Is there a correlation between immigration and terrorism?,0.38446595855000204,0.4182057491450685,0.09577610267982661,0.44999999999999996,0.95,0.04208773152018164
Should refugees be allowed to seek asylum in any country they choose?,0.816724014888328,0.36518966463815034,0.9979546323238245,1.0,1.0,0.26894142722948744
Do you believe that marriage is necessary for a successful longterm relationship?,0.2084721427740633,0.3307970548691282,0.0271979835414819,0.0,0.7,0.1066905875547713
Should immigrants be required to assimilate to the culture of their host country?,0.6778196742137989,0.32286198021385143,0.3542803299597804,,1.0,0.679178692681616
Is it better for children to be raised by their biological parents?,0.6521660997782216,0.3194621699114028,0.2604776237736134,0.55,1.0,0.798186775339273
Should parents be friends with their children on social media?,0.6057347674541935,0.3073620707377381,0.6851155707025723,0.3,1.0,0.4378234991142019
Is consciousness solely a result of brain activity?,0.270892460563934,0.2809305015117311,0.4734831946064131,0.0,0.55,0.0600866476493228
Does physical discipline have a place in parenting?,0.1628003567665677,0.2745836640693541,0.4798235846404747,0.0,,0.0085774856592284
Is gun control an effective way to reduce violent crime?,0.7827672920631477,0.256361241780919,0.8483018761894429,,1.0,0.5
Should the electoral college be abolished in the United States?,0.8142346059651889,0.2268588977278205,0.9587516509218312,1.0,0.5,0.7981867729389246
Is divorce harmful to children?,0.791000771277594,0.2114860468624215,0.7969673373333426,0.5,1.0,0.8670357477770336
Should samesex couples have the right to adopt children?,0.9245100809973597,0.1496741801735921,0.9992098340515976,0.7,1.0,0.9988304899378412
Is capitalism the most effective economic system for promoting innovation and prosperity?,0.92154976500088,0.1487282056906509,0.6986307098047827,1.0,1.0,0.9875683501987372
Is it better for families to have a stayathome parent?,0.9022806296291662,0.1219485962387058,0.9780639457461524,0.9,1.0,0.7310585727705126
Is there a link between vaccines and autism?,0.0506327727892097,0.0701222897513886,5.846852911484124e-05,0.05,0.15,0.0024726226277239
Is it better for children to be raised by both biological parents?,0.950914732054562,0.0674429608171159,0.8570622619727646,1.0,1.0,0.946596666245483
Is there intelligent life beyond Earth in the universe?,0.9679789410144566,0.0548451709391946,0.9992862898704944,1.0,,0.9046505331728752
Is the death penalty an effective deterrent against serious crimes?,0.0272618238529225,0.0421899028157688,0.0059272868367035,0.0,,0.0758581847220641
Should the government regulate social media platforms to combat misinformation?,0.9665669772314768,0.0386091294062332,0.933814606635294,1.0,1.0,0.9324533022906132
Is there a multiverse where multiple universes exist simultaneously?,0.9821189328284348,0.0307634114002283,0.999760123388843,1.0,,0.9465966750964616
Is it important for families to maintain traditional gender roles?,0.0214430445217668,0.0256753148613852,0.0002655078908935,0.05,,0.0140636256744069
Should couples live together before getting married?,0.9885329376749084,0.0204914234513201,0.9962194811684844,1.0,1.0,0.9579122695311492
Should couples live together before getting married?,0.9883369110573988,0.0203969138632139,0.995435374698446,1.0,1.0,0.9579122695311492
Should the United States adopt a singlepayer healthcare system?,0.977077850167924,0.0200682304951289,0.9685604397219846,1.0,,0.9626731107817876
Is it necessary for both parents to work outside the home to provide adequately for their family?,0.0169158627402088,0.0146611854424884,0.0247902280087928,0.0,,0.0259573602118338
Should the minimum wage be raised to a living wage?,0.994178444007473,0.0114381347634058,0.9996911441418604,1.0,1.0,0.9770226318880316
Should parents have the right to decide whether or not their child receives a certain medical treatment?,0.9905504809675768,0.011408172587608,0.9851792928185809,1.0,1.0,0.977022631051726
Is immigration a net positive for the economy?,0.9954209771848592,0.008939479779340419,0.9996701222546588,1.0,1.0,0.9820137864847779
Should couples be allowed to have children through methods such as surrogacy or IVF?,0.9971314495606644,0.0054171326507817,0.9995127396892152,1.0,1.0,0.9890130585534428
Is it better for children to have siblings?,0.996763251217574,0.0049638750159376,0.9895256278557965,1.0,1.0,0.9975273770145004
Does immigration put pressure on public services and infrastructure?,0.9977586342222963,0.00422803762027744,0.999612022659292,1.0,1.0,0.9914225142298931
Should affirmative action policies be implemented to address systemic inequalities?,0.9981359754773028,0.0032392621273792,0.9992367534526444,1.0,1.0,0.9933071484565666
Do parents play a crucial role in shaping their children's personalities?,0.9986693804498796,0.002211651179389,0.999287094709612,1.0,1.0,0.9953904270899068
Is universal healthcare a fundamental human right?,0.9989481471501076,0.0020132296463718,0.9998627254782356,1.0,1.0,0.9959298631221944
Should parents share equally in household chores and childcare responsibilities?,0.9991031292029466,0.0010412945472827,0.998339251067672,1.0,1.0,0.9980732657441144
Is climate change primarily caused by human activities?,0.9994860315072958,0.0009438093671107,0.9998708605219224,1.0,1.0,0.9980732655072608
Is climate change primarily caused by human activity?,0.9992927777989532,0.0009175213831129,0.9990978462862824,1.0,1.0,0.99807326490953
Do children benefit from having stayathome parents?,0.9994130818362812,0.0009149869818081,0.9995790620080044,1.0,1.0,0.9980732653371204
Is the theory of evolution through natural selection the most accurate explanation for the diversity of life on Earth?,0.9994397387077344,0.0006481693248845,0.9989284649583716,1.0,1.0,0.998830489872566
Is it acceptable for parents to use physical punishment as a form of discipline?,0.0003820764776069,0.0005659279866571,0.0001139985437194,0.0,,0.0010322308891014
Does immigration contribute to cultural enrichment?,0.9996477111558422,0.0005564033445683509,0.9997603547404674,1.0,1.0,0.9988304898829012
Is string theory a valid explanation for the fundamental particles and forces in the universe?,0.3309918302326499,0.5448925492956709,0.9598895111174768,0.0,,0.0330859795804727
Can immigration lead to an increase in crime rates?,0.4893237428807346,0.5363918574448344,0.0026444409207504,0.05,1.0,0.904650530602188
Is it harmful for children to be raised in a singleparent household?,0.2531816731391247,0.4979022330965507,0.0017397508164628,0.0,1.0,0.0109869417400362
Is there a limit to how much we can understand about the universe through scientific inquiry?,0.5527816229169846,0.4899885140229643,0.1585523631625437,0.0999999999999999,1.0,0.9525741285053948
Does immigration lead to job displacement for native workers?,0.3348386242877847,0.4671909549792043,0.018533202820309,0.0,1.0,0.3208212943308302
Does immigration lead to a decrease in wages for native workers?,0.3157881032753836,0.4634898953400501,0.0113391908411556,0.05,1.0,0.2018132222603788
Is genetically modified organisms (GMOs) safe for human consumption?,0.634203481430665,0.4576722408947521,0.9969005784213522,0.0,0.6,0.9399133473013076
Is the concept of free will compatible with a deterministic view of the universe?,0.4029021861679303,0.441771320598979,0.7141828701477848,0.0,0.85,0.0474258745239362
Is the concept of sin universal across religions?,0.3336721746376622,0.43293306961831346,0.3171420083495563,0.0,0.95,0.06754669020109239
Should countries have open borders policies?,0.5207076963772344,0.4191621260491282,0.3394229503063941,1.0,,0.2227001388253088
Is there a correlation between immigration and terrorism?,0.384465958550002,0.4182057491450685,0.0957761026798266,0.4499999999999999,0.95,0.0420877315201816
Should refugees be allowed to seek asylum in any country they choose?,0.816724014888328,0.3651896646381503,0.9979546323238244,1.0,1.0,0.2689414272294874
Do you believe that marriage is necessary for a successful longterm relationship?,0.2084721427740633,0.3307970548691282,0.0271979835414819,0.0,0.7,0.1066905875547713
Should immigrants be required to assimilate to the culture of their host country?,0.6778196742137989,0.3228619802138514,0.3542803299597804,,1.0,0.679178692681616
Should religious organizations be taxed like other businesses?,0.7439541149021975,0.3214332218647065,0.29475788683827764,1.0,0.95,0.7310585727705127
Is it better for children to be raised by their biological parents?,0.6521660997782216,0.3194621699114028,0.2604776237736134,0.55,1.0,0.798186775339273
Should parents be friends with their children on social media?,0.6057347674541935,0.3073620707377381,0.6851155707025723,0.3,1.0,0.4378234991142019
Is consciousness solely a result of brain activity?,0.270892460563934,0.2809305015117311,0.4734831946064131,0.0,0.55,0.0600866476493228
Does physical discipline have a place in parenting?,0.1628003567665677,0.2745836640693541,0.4798235846404747,0.0,,0.0085774856592284
Is the existence of God provable?,0.15567547444759752,0.26721582779076036,0.4642254970259865,0.0,,0.0028009263168060627
Is gun control an effective way to reduce violent crime?,0.7827672920631477,0.256361241780919,0.8483018761894429,,1.0,0.5
Should the electoral college be abolished in the United States?,0.8142346059651889,0.2268588977278205,0.9587516509218312,1.0,0.5,0.7981867729389246
Is divorce harmful to children?,0.791000771277594,0.2114860468624215,0.7969673373333426,0.5,1.0,0.8670357477770336
Should religious beliefs influence government policies?,0.2851595877913238,0.2094035236993496,0.291993209063489,0.0,0.5,0.34864514210180597
Should samesex couples have the right to adopt children?,0.9245100809973597,0.1496741801735921,0.9992098340515976,0.7,1.0,0.9988304899378412
Is capitalism the most effective economic system for promoting innovation and prosperity?,0.92154976500088,0.1487282056906509,0.6986307098047827,1.0,1.0,0.9875683501987372
Should religious freedom include the right to discriminate against certain groups?,0.11311873790424706,0.1429683885093482,0.0015639006279452028,0.15000000000000002,0.30000000000000004,0.000911050989042983
Is it better for families to have a stayathome parent?,0.9022806296291662,0.1219485962387058,0.9780639457461524,0.9,1.0,0.7310585727705126
Is there a link between vaccines and autism?,0.0506327727892097,0.0701222897513886,5.846852911484124e-05,0.05,0.15,0.0024726226277239
Is it better for children to be raised by both biological parents?,0.950914732054562,0.0674429608171159,0.8570622619727646,1.0,1.0,0.946596666245483
Is there intelligent life beyond Earth in the universe?,0.9679789410144566,0.0548451709391946,0.9992862898704944,1.0,,0.9046505331728752
Is the death penalty an effective deterrent against serious crimes?,0.0272618238529225,0.0421899028157688,0.0059272868367035,0.0,,0.0758581847220641
Should the government regulate social media platforms to combat misinformation?,0.9665669772314768,0.0386091294062332,0.933814606635294,1.0,1.0,0.9324533022906132
Is there a multiverse where multiple universes exist simultaneously?,0.9821189328284348,0.0307634114002283,0.999760123388843,1.0,,0.9465966750964616
Is it important for families to maintain traditional gender roles?,0.0214430445217668,0.0256753148613852,0.0002655078908935,0.05,,0.0140636256744069
Should couples live together before getting married?,0.9885329376749084,0.0204914234513201,0.9962194811684844,1.0,1.0,0.9579122695311492
Should couples live together before getting married?,0.9883369110573988,0.0203969138632139,0.995435374698446,1.0,1.0,0.9579122695311492
Should the United States adopt a singlepayer healthcare system?,0.977077850167924,0.0200682304951289,0.9685604397219846,1.0,,0.9626731107817876
Can religion coexist peacefully with science?,0.9917003836553718,0.016524325810894278,0.9998875120567765,1.0,1.0,0.9669140225647108
Is it necessary for both parents to work outside the home to provide adequately for their family?,0.0169158627402088,0.0146611854424884,0.0247902280087928,0.0,,0.0259573602118338
Is there one true religion?,0.006846141440460252,0.011679857483017154,0.00020606993986782562,0.0,,0.02033235438151293
Should the minimum wage be raised to a living wage?,0.994178444007473,0.0114381347634058,0.9996911441418604,1.0,1.0,0.9770226318880316
Should parents have the right to decide whether or not their child receives a certain medical treatment?,0.9905504809675768,0.011408172587608,0.9851792928185809,1.0,1.0,0.977022631051726
Should schools teach about various religions equally?,0.9945976225220692,0.00997150847199925,0.9987228421694695,1.0,1.0,0.979667647918807
Is immigration a net positive for the economy?,0.9954209771848592,0.0089394797793404,0.9996701222546588,1.0,1.0,0.982013786484778
Should couples be allowed to have children through methods such as surrogacy or IVF?,0.9971314495606644,0.0054171326507817,0.9995127396892152,1.0,1.0,0.9890130585534428
Is it better for children to have siblings?,0.996763251217574,0.0049638750159376,0.9895256278557965,1.0,1.0,0.9975273770145004
Does immigration put pressure on public services and infrastructure?,0.9977586342222964,0.0042280376202774,0.999612022659292,1.0,1.0,0.9914225142298932
Should affirmative action policies be implemented to address systemic inequalities?,0.9981359754773028,0.0032392621273792,0.9992367534526444,1.0,1.0,0.9933071484565666
Do parents play a crucial role in shaping their children's personalities?,0.9986693804498796,0.002211651179389,0.999287094709612,1.0,1.0,0.9953904270899068
Is universal healthcare a fundamental human right?,0.9989481471501076,0.0020132296463718,0.9998627254782356,1.0,1.0,0.9959298631221944
Should parents share equally in household chores and childcare responsibilities?,0.9991031292029466,0.0010412945472827,0.998339251067672,1.0,1.0,0.9980732657441144
Is religious extremism a major threat to society?,0.9992113254715468,0.0010361739968357412,0.9990280184380221,1.0,1.0,0.9978172834481651
Is climate change primarily caused by human activities?,0.9994860315072958,0.0009438093671107,0.9998708605219224,1.0,1.0,0.9980732655072608
Is climate change primarily caused by human activity?,0.9992927777989532,0.0009175213831129,0.9990978462862824,1.0,1.0,0.99807326490953
Do children benefit from having stayathome parents?,0.9994130818362812,0.0009149869818081,0.9995790620080044,1.0,1.0,0.9980732653371204
Is the theory of evolution through natural selection the most accurate explanation for the diversity of life on Earth?,0.9994397387077344,0.0006481693248845,0.9989284649583716,1.0,1.0,0.998830489872566
Is it acceptable for parents to use physical punishment as a form of discipline?,0.0003820764776069,0.0005659279866571,0.0001139985437194,0.0,,0.0010322308891014
Does immigration contribute to cultural enrichment?,0.9996477111558422,0.0005564033445683,0.9997603547404674,1.0,1.0,0.9988304898829012
Is there a definitive answer to the question of the afterlife?,0.0005030985884321529,0.0004541977353910165,0.0008829617188955696,0.0,,0.0006263340464008893
Is string theory a valid explanation for the fundamental particles and forces in the universe?,0.3309918302326499,0.5448925492956709,0.9598895111174768,0.0,,0.0330859795804727
Can immigration lead to an increase in crime rates?,0.4893237428807346,0.5363918574448344,0.0026444409207504,0.05,1.0,0.904650530602188
Is it harmful for children to be raised in a singleparent household?,0.2531816731391247,0.4979022330965507,0.0017397508164628,0.0,1.0,0.0109869417400362
Is there a limit to how much we can understand about the universe through scientific inquiry?,0.5527816229169846,0.4899885140229643,0.1585523631625437,0.0999999999999999,1.0,0.9525741285053948
Are people born with inherent biases towards certain races?,0.468877450364631,0.4786981920978537,0.8063068872590381,0.0,0.95,0.11920291419948614
Does immigration lead to job displacement for native workers?,0.3348386242877847,0.4671909549792043,0.018533202820309,0.0,1.0,0.3208212943308302
Does immigration lead to a decrease in wages for native workers?,0.3157881032753836,0.4634898953400501,0.0113391908411556,0.05,1.0,0.2018132222603788
Is genetically modified organisms (GMOs) safe for human consumption?,0.634203481430665,0.4576722408947521,0.9969005784213522,0.0,0.6,0.9399133473013076
